Bulbasaur, 1, 226, -1, -1, -1, 231, -1, -1, 80, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 68, -1, -1, -1, -1, 164
Ivysaur, 2, 227, -1, -1, -1, 232, -1, -1, 81, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 69, -1, -1, -1, -1, 165
Venusaur, 3, 228, -1, -1, -1, 233, -1, -1, 82, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 70, -1, -1, -1, -1, 166
Charmander, 4, 229, -1, -1, -1, 234, -1, -1, 83, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 378, -1, -1, -1, -1, -1, 167
Charmeleon, 5, 230, -1, -1, -1, 235, -1, -1, 84, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 379, -1, -1, -1, -1, -1, 168
Charizard, 6, 231, -1, -1, -1, 236, -1, -1, 85, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 380, -1, -1, -1, -1, -1, 169
Squirtle, 7, 232, -1, -1, -1, 237, -1, -1, 86, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 71, -1, -1, -1, -1, 170
Wartortle, 8, 233, -1, -1, -1, 238, -1, -1, 87, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 72, -1, -1, -1, -1, 171
Blastoise, 9, 234, -1, -1, -1, 239, -1, -1, 88, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 73, -1, -1, -1, -1, 172
Caterpie, 10, 24, -1, -1, -1, 24, -1, -1, 23, -1, -1, -1, 17, 17, 8, -1, -1, 17, 17, 8, -1, -1, 13, -1, -1, -1, -1, -1, -1
Metapod, 11, 25, -1, -1, -1, 25, -1, -1, 24, -1, -1, -1, 18, 18, 9, -1, -1, 18, 18, 9, -1, -1, 14, -1, -1, -1, -1, -1, -1
Butterfree, 12, 26, -1, -1, -1, 26, -1, -1, 25, -1, -1, -1, 19, 19, 10, -1, -1, 19, 19, 10, -1, -1, 15, -1, -1, -1, -1, -1, -1
Weedle, 13, 27, -1, -1, -1, 27, -1, -1, 26, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Kakuna, 14, 28, -1, -1, -1, 28, -1, -1, 27, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Beedrill, 15, 29, -1, -1, -1, 29, -1, -1, 28, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Pidgey, 16, 10, -1, -1, -1, 10, -1, -1, 17, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Pidgeotto, 17, 11, -1, -1, -1, 11, -1, -1, 18, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Pidgeot, 18, 12, -1, -1, -1, 12, -1, -1, 19, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Rattata, 19, 17, -1, -1, -1, 17, -1, 59, -1, -1, -1, -1, 15, 15, 6, 6, 6, 15, 15, 6, 6, 6, -1, -1, -1, -1, -1, -1, -1
Raticate, 20, 18, -1, -1, -1, 18, -1, 60, -1, -1, -1, -1, 16, 16, 7, 7, 7, 16, 16, 7, 7, 7, -1, -1, -1, -1, -1, -1, -1
Spearow, 21, 13, -1, -1, -1, 13, -1, -1, -1, -1, 109, -1, 73, 73, -1, 40, 24, 87, 87, -1, 40, 33, -1, -1, -1, -1, -1, -1, -1
Fearow, 22, 14, -1, -1, -1, 14, -1, -1, -1, -1, 110, -1, 74, 74, -1, 41, 25, 88, 88, -1, 41, 34, -1, -1, -1, -1, -1, -1, -1
Ekans, 23, 50, -1, -1, -1, 50, -1, -1, -1, -1, 37, -1, -1, -1, -1, -1, -1, 61, 61, -1, -1, -1, -1, -1, -1, -1, -1, 18, -1
Arbok, 24, 51, -1, -1, -1, 51, -1, -1, -1, -1, 38, -1, -1, -1, -1, -1, -1, 62, 62, -1, -1, -1, -1, -1, -1, -1, -1, 19, -1
Pikachu, 25, 22, 156, 104, 104, 22, -1, -1, 36, -1, -1, 163, 25, 25, -1, -1, -1, 32, 32, -1, -1, -1, 194, 85, -1, 56, 74, 21, -1
Raichu, 26, 23, 157, 105, 105, 23, -1, -1, 37, -1, -1, 164, 26, 26, -1, -1, -1, 33, 33, -1, -1, -1, 195, 86, -1, 57, 75, 22, -1
Sandshrew, 27, 48, 112, -1, -1, 48, -1, 113, -1, -1, 97, 117, 251, -1, -1, 123, -1, 328, -1, -1, 149, -1, -1, 168, -1, -1, -1, 116, 155
Sandslash, 28, 49, 113, -1, -1, 49, -1, 114, -1, -1, 98, 118, 252, -1, -1, 124, -1, 329, -1, -1, 150, -1, -1, 169, -1, -1, -1, 117, 156
Nidoran♀, 29, 95, -1, -1, -1, 95, -1, -1, -1, 104, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 65, -1, -1, -1, -1
Nidorina, 30, 96, -1, -1, -1, 96, -1, -1, -1, 105, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 66, -1, -1, -1, -1
Nidoqueen, 31, 97, -1, -1, -1, 97, -1, -1, -1, 106, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 67, -1, -1, -1, -1
Nidoran♂, 32, 98, -1, -1, -1, 98, -1, -1, -1, 107, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 68, -1, -1, -1, -1
Nidorino, 33, 99, -1, -1, -1, 99, -1, -1, -1, 108, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 69, -1, -1, -1, -1
Nidoking, 34, 100, -1, -1, -1, 100, -1, -1, -1, 109, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 70, -1, -1, -1, -1
Clefairy, 35, 41, -1, 100, 100, 41, -1, 89, -1, -1, -1, -1, 211, -1, -1, 83, -1, 273, -1, -1, 94, -1, 255, -1, 44, 200, -1, 152, -1
Clefable, 36, 42, -1, 101, 101, 42, -1, 90, -1, -1, -1, -1, 212, -1, -1, 84, -1, 274, -1, -1, 95, -1, 256, -1, 45, 201, -1, 153, -1
Vulpix, 37, 125, 153, -1, -1, 127, -1, 248, -1, -1, -1, 160, 253, -1, -1, 125, -1, 330, -1, -1, 151, -1, 68, -1, -1, 168, -1, 37, 157
Ninetales, 38, 126, 154, -1, -1, 128, -1, 249, -1, -1, -1, 161, 254, -1, -1, 126, -1, 331, -1, -1, 152, -1, 69, -1, -1, 169, -1, 38, 158
Jigglypuff, 39, 44, 138, -1, -1, 44, -1, 282, -1, -1, 120, 143, 135, -1, 62, -1, -1, 168, -1, 69, -1, -1, -1, 12, -1, -1, 60, -1, -1
Wigglytuff, 40, 45, 139, -1, -1, 45, -1, 283, -1, -1, 121, 144, 136, -1, 63, -1, -1, 169, -1, 70, -1, -1, -1, 13, -1, -1, 61, -1, -1
Zubat, 41, 37, 63, 28, 28, 37, -1, 61, 145, -1, -1, 65, 68, 68, 26, 35, 19, 80, 80, 26, 35, 26, -1, -1, 144, 34, -1, -1, -1
Golbat, 42, 38, 64, 29, 29, 38, -1, 62, 146, -1, -1, 66, 69, 69, 27, 36, 20, 81, 81, 27, 36, 27, -1, -1, 145, 35, -1, -1, -1
Oddish, 43, 83, 88, -1, -1, 83, -1, -1, 105, -1, -1, 91, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 55, -1, -1, -1, -1, -1, 62
Gloom, 44, 84, 89, -1, -1, 84, -1, -1, 106, -1, -1, 92, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 56, -1, -1, -1, -1, -1, 63
Vileplume, 45, 85, 90, -1, -1, 85, -1, -1, 107, -1, -1, 93, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 57, -1, -1, -1, -1, -1, 64
Paras, 46, 70, -1, -1, -1, 70, -1, -1, -1, -1, -1, -1, 147, -1, 74, 66, -1, 180, -1, 81, 72, -1, -1, -1, -1, 53, -1, -1, -1
Parasect, 47, 71, -1, -1, -1, 71, -1, -1, -1, -1, -1, -1, 148, -1, 75, 67, -1, 181, -1, 82, 73, -1, -1, -1, -1, 54, -1, -1, -1
Venonat, 48, 108, -1, -1, -1, 109, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 256, -1, 8
Venomoth, 49, 109, -1, -1, -1, 110, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 257, -1, 9
Diglett, 50, 132, -1, -1, -1, 134, -1, -1, -1, -1, 1, -1, 71, 71, 29, 38, 22, 85, 85, 29, 38, 31, 164, -1, -1, -1, 148, -1, 66
Dugtrio, 51, 133, -1, -1, -1, 135, -1, -1, -1, -1, 2, -1, 72, 72, 30, 39, 23, 86, 86, 30, 39, 32, 165, -1, -1, -1, 149, -1, 67
Meowth, 52, 136, -1, -1, -1, 138, -1, -1, -1, -1, -1, -1, 45, 45, -1, 23, -1, 52, 52, -1, 23, -1, 182, -1, -1, -1, 141, -1, -1
Persian, 53, 137, -1, -1, -1, 139, -1, -1, -1, -1, -1, -1, 46, 46, -1, 24, -1, 53, 53, -1, 24, -1, 184, -1, -1, -1, 142, -1, -1
Psyduck, 54, 138, 158, 43, 43, 140, -1, 28, 59, -1, -1, 165, 89, 89, 32, 49, 39, 107, 107, 32, 52, 51, -1, 146, -1, 68, 55, -1, -1
Golduck, 55, 139, 159, 44, 44, 141, -1, 29, 60, -1, -1, 166, 90, 90, 33, 50, 40, 108, 108, 33, 53, 52, -1, 147, -1, 69, 56, -1, -1
Mankey, 56, 134, -1, -1, -1, 136, -1, -1, -1, -1, -1, -1, 79, 79, -1, -1, 30, 93, 93, -1, -1, 39, -1, -1, -1, -1, 158, 99, -1
Primeape, 57, 135, -1, -1, -1, 137, -1, -1, -1, -1, -1, -1, 80, 80, -1, -1, 31, 94, 94, -1, -1, 40, -1, -1, -1, -1, 159, 100, -1
Growlithe, 58, 127, -1, -1, -1, 129, -1, 51, -1, -1, -1, -1, 52, 52, -1, -1, -1, 64, 64, -1, -1, -1, 70, -1, -1, 150, 213, 78, -1
Arcanine, 59, 128, -1, -1, -1, 130, -1, 52, -1, -1, -1, -1, 53, 53, -1, -1, -1, 65, 65, -1, -1, -1, 71, -1, -1, 151, 214, 79, -1
Poliwag, 60, 72, -1, -1, -1, 72, -1, -1, -1, -1, 33, -1, 149, -1, 76, 68, -1, 182, -1, 83, 74, -1, -1, 142, -1, -1, -1, 39, -1
Poliwhirl, 61, 73, -1, -1, -1, 73, -1, -1, -1, -1, 34, -1, 150, -1, 77, 69, -1, 183, -1, 84, 75, -1, -1, 143, -1, -1, -1, 40, -1
Poliwrath, 62, 74, -1, -1, -1, 74, -1, -1, -1, -1, 35, -1, 151, -1, 78, 70, -1, 184, -1, 85, 76, -1, -1, 144, -1, -1, -1, 41, -1
Abra, 63, 89, 39, 20, 20, 89, -1, -1, 102, -1, -1, 40, 42, 42, -1, -1, -1, 49, 49, -1, -1, -1, -1, 31, -1, 58, -1, -1, -1
